"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"6910","GO:0023056",6.57257953559241e-07,0.999999716368155,482,1667,"positive regulation of signaling","BP"
"11981","GO:0046651",6.90088218103543e-07,1,101,278,"lymphocyte proliferation","BP"
"15219","GO:0070661",7.0265076175765e-07,1,113,320,"leukocyte proliferation","BP"
"4705","GO:0010647",7.34360006198295e-07,0.999999682885362,481,1665,"positive regulation of cell communication","BP"
"13168","GO:0051251",7.34788917124331e-07,1,114,320,"positive regulation of lymphocyte activation","BP"
"11118","GO:0044419",7.47301041654163e-07,0.999999678972725,446,1564,"biological process involved in interspecies interaction between organisms","BP"
"385","GO:0001227",9.17629351598969e-07,1,94,252,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF"
"7540","GO:0031325",1.09399530614615e-06,0.999999275777637,784,2842,"positive regulation of cellular metabolic process","BP"
"999","GO:0002429",1.28540931914847e-06,0.999999545659986,106,294,"immune response-activating cell surface receptor signaling pathway","BP"
"8474","GO:0032943",1.34731569048216e-06,0.99999952619199,103,286,"mononuclear cell proliferation","BP"
"19635","GO:1903037",1.35492144319888e-06,0.999999502551208,126,364,"regulation of leukocyte cell-cell adhesion","BP"
"19637","GO:1903039",1.35757935461878e-06,0.999999527360666,99,270,"positive regulation of leukocyte cell-cell adhesion","BP"
"381","GO:0001217",1.42390457302064e-06,0.999999506507517,97,262,"DNA-binding transcription repressor activity","MF"
"3508","GO:0007159",1.56056526269952e-06,0.999999417213056,136,400,"leukocyte cell-cell adhesion","BP"
"13403","GO:0051716",1.58792590700869e-06,0.999998770563785,1714,6630,"cellular response to stimulus","BP"
"12959","GO:0050896",1.59796402630178e-06,0.999998760279589,2004,7844,"response to stimulus","BP"
"4743","GO:0010720",1.73695463252889e-06,0.999999341347818,148,433,"positive regulation of cell development","BP"
"10713","GO:0043231",2.35396721671412e-06,0.999998186947682,2839,11396,"intracellular membrane-bounded organelle","CC"
"10711","GO:0043229",2.50750576297717e-06,0.99999808317077,3059,12336,"intracellular organelle","CC"
"1248","GO:0002831",2.67596895495205e-06,0.999998634599563,170,522,"regulation of response to biotic stimulus","BP"
"12934","GO:0050863",2.69513561471165e-06,0.999998996827649,127,373,"regulation of T cell activation","BP"
"11612","GO:0045893",2.8328546708029e-06,0.99999807803552,455,1571,"positive regulation of DNA-templated transcription","BP"
"12941","GO:0050870",2.85847318840306e-06,0.999999009249041,91,247,"positive regulation of T cell activation","BP"
"4403","GO:0009605",3.64899917529347e-06,0.999997307817333,600,2170,"response to external stimulus","BP"
"19481","GO:1902680",3.79011514138932e-06,0.999997332697664,455,1574,"positive regulation of RNA biosynthetic process","BP"
"6510","GO:0019899",3.83653255428826e-06,0.999997183220663,567,2000,"enzyme binding","MF"
"4410","GO:0009617",3.83989221936227e-06,0.999997784094893,187,599,"response to bacterium","BP"
"13102","GO:0051130",4.24715250812708e-06,0.999997115645303,327,1088,"positive regulation of cellular component organization","BP"
"7543","GO:0031328",4.36501373322405e-06,0.999996693772892,675,2434,"positive regulation of cellular biosynthetic process","BP"
"3515","GO:0007166",4.41637582151033e-06,0.999996642520981,708,2563,"cell surface receptor signaling pathway","BP"
"9131","GO:0034612",4.47651380001432e-06,0.999998044230715,82,220,"response to tumor necrosis factor","BP"
"6845","GO:0022409",4.75753681123862e-06,0.999997742235532,112,320,"positive regulation of cell-cell adhesion","BP"
"11464","GO:0045621",5.42756445213348e-06,0.999997711586904,55,131,"positive regulation of lymphocyte differentiation","BP"
"19935","GO:1903706",5.53619985460368e-06,0.999996991765173,133,397,"regulation of hemopoiesis","BP"
"8625","GO:0033209",6.53608759376839e-06,0.999997439821279,47,109,"tumor necrosis factor-mediated signaling pathway","BP"
"12675","GO:0048856",6.56708425064842e-06,0.999994591363792,1430,5444,"anatomical structure development","BP"
"13425","GO:0051767",7.03891479633775e-06,0.999999279255251,14,19,"nitric-oxide synthase biosynthetic process","BP"
"13426","GO:0051769",7.03891479633775e-06,0.999999279255251,14,19,"regulation of nitric-oxide synthase biosynthetic process","BP"
"9705","GO:0035966",7.44034571623999e-06,0.999996639339948,61,153,"response to topologically incorrect protein","BP"
"4480","GO:0009891",7.61502292452145e-06,0.999994081788662,684,2479,"positive regulation of biosynthetic process","BP"
"4642","GO:0010557",7.93053192530171e-06,0.999993814893058,659,2380,"positive regulation of macromolecule biosynthetic process","BP"
"12887","GO:0050793",8.15874835956162e-06,0.999993691780708,638,2288,"regulation of developmental process","BP"
"11649","GO:0045944",8.25969668250423e-06,0.999994118956732,342,1154,"positive regulation of transcription by RNA polymerase II","BP"
"2606","GO:0005654",8.32279904668917e-06,0.999993198860025,1075,4051,"nucleoplasm","CC"
"7560","GO:0031347",8.8035161443652e-06,0.999994230579372,234,768,"regulation of defense response","BP"
"18458","GO:0141124",9.14641516341026e-06,0.999993056502887,515,1814,"intracellular signaling cassette","BP"
"11642","GO:0045935",9.71313214438541e-06,0.999992594954813,534,1892,"positive regulation of nucleobase-containing compound metabolic process","BP"
"13171","GO:0051254",9.98355370554916e-06,0.999992462538283,483,1693,"positive regulation of RNA metabolic process","BP"
"4941","GO:0012505",1.03643061711705e-05,0.999991446596608,1191,4524,"endomembrane system","CC"
"10829","GO:0043412",1.08195139162927e-05,0.999991411003676,748,2728,"macromolecule modification","BP"
"6843","GO:0022407",1.08676220731338e-05,0.999993525563713,156,480,"regulation of cell-cell adhesion","BP"
"10671","GO:0043170",1.14186879003654e-05,0.999990377177166,2123,8373,"macromolecule metabolic process","BP"
"10708","GO:0043226",1.14845677455278e-05,0.99999070239574,3210,13022,"organelle","CC"
"10171","GO:0042100",1.14879165199163e-05,0.999995936118918,38,83,"B cell proliferation","BP"
"8365","GO:0032784",1.20944444414526e-05,0.999995361046718,43,98,"regulation of DNA-templated transcription elongation","BP"
"7855","GO:0031981",1.32694077650271e-05,0.999989020465823,1154,4380,"nuclear lumen","CC"
"7003","GO:0030155",1.38058191640087e-05,0.999990607111451,237,770,"regulation of cell adhesion","BP"
"3426","GO:0006986",1.45526191937049e-05,0.99999354789057,55,137,"response to unfolded protein","BP"
"7562","GO:0031349",1.45596439840067e-05,0.99999106867389,154,478,"positive regulation of defense response","BP"
"15556","GO:0071356",1.51324823995548e-05,0.999992547388209,74,199,"cellular response to tumor necrosis factor","BP"
"11433","GO:0045582",1.52430895729169e-05,0.999993640992525,49,116,"positive regulation of T cell differentiation","BP"
"19255","GO:1902107",1.52827822973152e-05,0.999992493600387,69,181,"positive regulation of leukocyte differentiation","BP"
"19937","GO:1903708",1.52827822973152e-05,0.999992493600387,69,181,"positive regulation of hemopoiesis","BP"
"12484","GO:0048471",1.76640359832193e-05,0.999988080122888,220,709,"perinuclear region of cytoplasm","CC"
"870","GO:0002221",1.77798888149006e-05,0.999990569001183,92,258,"pattern recognition receptor signaling pathway","BP"
"13033","GO:0051020",1.91743281156545e-05,0.999989126493348,109,309,"GTPase binding","MF"
"13160","GO:0051239",2.20631381883581e-05,0.999982169678515,748,2756,"regulation of multicellular organismal process","BP"
"12922","GO:0050851",2.23571288141189e-05,0.999988782364756,70,186,"antigen receptor-mediated signaling pathway","BP"
"10618","GO:0043067",2.38001507599928e-05,0.999982106991141,400,1407,"regulation of programmed cell death","BP"
"21006","GO:1905897",2.45119688274631e-05,0.99999103153643,37,83,"regulation of response to endoplasmic reticulum stress","BP"
"18744","GO:1900101",2.50214593294826e-05,0.999995210059965,18,30,"regulation of endoplasmic reticulum unfolded protein response","BP"
"1203","GO:0002758",2.56986437288427e-05,0.999985774449823,96,274,"innate immune response-activating signaling pathway","BP"
"11026","GO:0044087",2.67123943728316e-05,0.99998065447581,298,995,"regulation of cellular component biogenesis","BP"
"9136","GO:0034620",2.67795653604337e-05,0.999989523782801,41,95,"cellular response to unfolded protein","BP"
"9706","GO:0035967",2.6817041873593e-05,0.999988822214596,46,110,"cellular response to topologically incorrect protein","BP"
"600","GO:0001819",2.69682319360889e-05,0.999983144259767,147,460,"positive regulation of cytokine production","BP"
"7024","GO:0030183",2.723042599764e-05,0.999987815105803,53,131,"B cell differentiation","BP"
"8961","GO:0034243",2.85303758491416e-05,0.999989298378348,38,86,"regulation of transcription elongation by RNA polymerase II","BP"
"2704","GO:0005829",2.99922695812177e-05,0.999974646694466,1352,5204,"cytosol","CC"
"11267","GO:0045088",3.03333759807858e-05,0.999981021720344,141,435,"regulation of innate immune response","BP"
"3011","GO:0006368",3.13057765097769e-05,0.999986681373412,47,114,"transcription elongation by RNA polymerase II","BP"
"7232","GO:0030595",3.2204374913646e-05,0.999983156425486,77,219,"leukocyte chemotaxis","BP"
"11972","GO:0046637",3.28009000529745e-05,0.999988235860146,35,77,"regulation of alpha-beta T cell differentiation","BP"
"12540","GO:0048585",3.37941309821572e-05,0.999973944802145,446,1577,"negative regulation of response to stimulus","BP"
"4939","GO:0012501",3.56396594624151e-05,0.999972022150516,516,1863,"programmed cell death","BP"
"2999","GO:0006354",3.62702436519194e-05,0.999983657239453,52,130,"DNA-templated transcription elongation","BP"
"10709","GO:0043227",3.80013589203011e-05,0.999968170287675,3032,12290,"membrane-bounded organelle","CC"
"3776","GO:0008134",3.82242899850968e-05,0.999974631410586,178,564,"transcription factor binding","MF"
"3404","GO:0006950",3.84985419715098e-05,0.999967982294099,962,3652,"response to stress","BP"
"8546","GO:0033043",3.94306757438716e-05,0.999970711865768,334,1145,"regulation of organelle organization","BP"
"868","GO:0002218",3.97280452077471e-05,0.999977151022984,101,294,"activation of innate immune response","BP"
"10729","GO:0043254",4.000052901551e-05,0.999975267261421,135,411,"regulation of protein-containing complex assembly","BP"
"11967","GO:0046632",4.13907145706324e-05,0.999981437879517,51,126,"alpha-beta T cell differentiation","BP"
"13906","GO:0060284",4.39037136966891e-05,0.99996899735237,238,786,"regulation of cell development","BP"
"15547","GO:0071347",4.54035263743851e-05,0.999983346071573,35,78,"cellular response to interleukin-1","BP"
"3832","GO:0008219",4.60337978750029e-05,0.99996369524535,516,1867,"cell death","BP"
"8475","GO:0032944",4.71745050152847e-05,0.9999746434594,81,230,"regulation of mononuclear cell proliferation","BP"
"7065","GO:0030234",4.76898412054196e-05,0.999964104205539,355,1231,"enzyme regulator activity","MF"
"5800","GO:0016604",4.81508959085048e-05,0.999965654446842,247,820,"nuclear body","CC"
"7932","GO:0032101",4.93094954026019e-05,0.999963799896326,297,1021,"regulation of response to external stimulus","BP"
"7276","GO:0030695",5.12659042211942e-05,0.999966793528986,154,470,"GTPase regulator activity","MF"
"14131","GO:0060589",5.12659042211942e-05,0.999966793528986,154,470,"nucleoside-triphosphatase regulator activity","MF"
"1025","GO:0002460",5.51682931499256e-05,0.999967455342714,104,310,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"16869","GO:0097190",5.77134990130802e-05,0.999961105223496,179,581,"apoptotic signaling pathway","BP"
"7856","GO:0031982",5.8126433554031e-05,0.999951360901588,978,3728,"vesicle","CC"
"12823","GO:0050670",6.64008091664909e-05,0.99996383889389,79,225,"regulation of lymphocyte proliferation","BP"
"11254","GO:0045058",7.06456641536654e-05,0.999976042718498,30,63,"T cell selection","BP"
"3564","GO:0007249",7.34838632583129e-05,0.999956286211716,104,310,"canonical NF-kappaB signal transduction","BP"
"597","GO:0001816",7.4749079278131e-05,0.999947212529791,219,735,"cytokine production","BP"
"12937","GO:0050866",7.7520765103487e-05,0.99995881249031,72,202,"negative regulation of cell activation","BP"
"15168","GO:0070555",7.77353756338523e-05,0.999967198782023,42,101,"response to interleukin-1","BP"
"3387","GO:0006915",8.05839172194099e-05,0.999936096979615,497,1802,"apoptotic process","BP"
"4507","GO:0009968",8.09720500495244e-05,0.999938291686226,358,1249,"negative regulation of signal transduction","BP"
"7549","GO:0031334",8.68566695657821e-05,0.999953910541816,70,192,"positive regulation of protein-containing complex assembly","BP"
"8558","GO:0033077",8.68966358206202e-05,0.999965667977504,37,85,"T cell differentiation in thymus","BP"
"18206","GO:0140546",8.71656343160322e-05,0.999935081256568,295,1039,"defense response to symbiont","BP"
"11560","GO:0045785",8.78822980658071e-05,0.999942230362312,151,476,"positive regulation of cell adhesion","BP"
"8190","GO:0032502",9.28236107625503e-05,0.999920186935325,1530,5924,"developmental process","BP"
"19259","GO:1902115",9.29358301725492e-05,0.999948721035575,80,224,"regulation of organelle assembly","BP"
"6911","GO:0023057",9.32470810968098e-05,0.999928040226161,384,1351,"negative regulation of signaling","BP"
"4796","GO:0010803",9.45160829474717e-05,0.999968394869966,28,60,"regulation of tumor necrosis factor-mediated signaling pathway","BP"
"3396","GO:0006935",9.55134099472898e-05,0.999938356987296,136,434,"chemotaxis","BP"
"7715","GO:0031663",9.69974669150466e-05,0.999969280588269,26,54,"lipopolysaccharide-mediated signaling pathway","BP"
"13161","GO:0051240",9.81649072645212e-05,0.99992304387176,435,1551,"positive regulation of multicellular organismal process","BP"
"7516","GO:0031267",0.000102299446305917,0.999939665413819,97,278,"small GTPase binding","MF"
"11966","GO:0046631",0.000102959314832128,0.999945785269177,67,184,"alpha-beta T cell activation","BP"
"12924","GO:0050853",0.000103287696775009,0.99996525298894,28,60,"B cell receptor signaling pathway","BP"
"7383","GO:0030968",0.000104446125897676,0.999959355074851,35,81,"endoplasmic reticulum unfolded protein response","BP"
"4706","GO:0010648",0.000104962799650447,0.99991887349026,383,1349,"negative regulation of cell communication","BP"
"10269","GO:0042330",0.000106758806839713,0.999930887928564,136,435,"taxis","BP"
"598","GO:0001817",0.000108062948111435,0.999923158190214,216,728,"regulation of cytokine production","BP"
"1250","GO:0002833",0.000114565999786644,0.999927353232756,124,384,"positive regulation of response to biotic stimulus","BP"
"7230","GO:0030593",0.000115770769406528,0.999954992100311,34,81,"neutrophil chemotaxis","BP"
"13789","GO:0060090",0.000117854782445509,0.999909819253146,350,1217,"molecular adaptor activity","MF"
"10627","GO:0043087",0.000122937642632202,0.99993467991559,68,183,"regulation of GTPase activity","BP"
"7854","GO:0031974",0.00012305725245059,0.999894194982354,1401,5464,"membrane-enclosed lumen","CC"
"10715","GO:0043233",0.00012305725245059,0.999894194982354,1401,5464,"organelle lumen","CC"
"14861","GO:0070013",0.00012305725245059,0.999894194982354,1401,5464,"intracellular organelle lumen","CC"
"11442","GO:0045595",0.000123193396494273,0.999903762965463,409,1450,"regulation of cell differentiation","BP"
"10643","GO:0043122",0.000124662809372154,0.999925700305326,97,289,"regulation of canonical NF-kappaB signal transduction","BP"
"15586","GO:0071396",0.000129239745247861,0.999911569273104,172,560,"cellular response to lipid","BP"
"7580","GO:0031399",0.000143190340525824,0.999893794328481,271,928,"regulation of protein modification process","BP"
"16872","GO:0097193",0.000144043850057929,0.999912730674511,101,306,"intrinsic apoptotic signaling pathway","BP"
"11266","GO:0045087",0.000151137751499035,0.999888653533504,255,887,"innate immune response","BP"
"3405","GO:0006952",0.000155316354278534,0.999876749019346,450,1652,"defense response","BP"
"873","GO:0002224",0.000161659800251245,0.999936279327611,34,79,"toll-like receptor signaling pathway","BP"
"3407","GO:0006954",0.000165172917072742,0.999880097304719,230,792,"inflammatory response","BP"
"7934","GO:0032103",0.000169242059383397,0.999881905401898,183,607,"positive regulation of response to external stimulus","BP"
"17135","GO:0098542",0.000169571100444989,0.99987093999891,314,1122,"defense response to other organism","BP"
"8347","GO:0032760",0.000171814292807655,0.999925507794808,40,99,"positive regulation of tumor necrosis factor production","BP"
"11268","GO:0045089",0.000174413198519497,0.99988959837295,116,358,"positive regulation of innate immune response","BP"
"4512","GO:0009987",0.000174478243532242,0.999859297488498,3578,14705,"cellular process","BP"
"10794","GO:0043370",0.000176821322861317,0.999939144573831,27,59,"regulation of CD4-positive, alpha-beta T cell differentiation","BP"
"3568","GO:0007254",0.000177771419031589,0.999906906106143,62,168,"JNK cascade","BP"
"10644","GO:0043123",0.00017896562990701,0.999899407139199,76,218,"positive regulation of canonical NF-kappaB signal transduction","BP"
"1145","GO:0002683",0.000179581356406976,0.999879129525566,151,491,"negative regulation of immune system process","BP"
"4162","GO:0009057",0.000179735505975156,0.999859419841501,389,1382,"macromolecule catabolic process","BP"
"8477","GO:0032946",0.000181219359123444,0.999911094344088,52,138,"positive regulation of mononuclear cell proliferation","BP"
"13116","GO:0051147",0.000182268051740753,0.999910896636987,52,135,"regulation of muscle cell differentiation","BP"
"3386","GO:0006914",0.000182991578942306,0.999872702982361,178,583,"autophagy","BP"
"14748","GO:0061919",0.000182991578942306,0.999872702982361,178,583,"process utilizing autophagic mechanism","BP"
"16306","GO:0080135",0.000197045715825844,0.999866142051456,157,507,"regulation of cellular response to stress","BP"
"19878","GO:1903557",0.000199413493411344,0.999911597298846,41,103,"positive regulation of tumor necrosis factor superfamily cytokine production","BP"
"21714","GO:2000514",0.000210625059157568,0.999915073662236,34,81,"regulation of CD4-positive, alpha-beta T cell activation","BP"
"20034","GO:1903894",0.000213260949437583,0.999976808654078,10,14,"regulation of IRE1-mediated unfolded protein response","BP"
"15221","GO:0070663",0.000218511904687085,0.999871553446599,85,254,"regulation of leukocyte proliferation","BP"
"11969","GO:0046634",0.000223251580773968,0.999894946938741,46,119,"regulation of alpha-beta T cell activation","BP"
"15715","GO:0071621",0.000226948464940589,0.999894484160628,44,117,"granulocyte chemotaxis","BP"
"6280","GO:0019222",0.000230055240446209,0.999800320662198,1538,6014,"regulation of metabolic process","BP"
"13427","GO:0051770",0.00023081833839317,0.99997006224814,11,16,"positive regulation of nitric-oxide synthase biosynthetic process","BP"
"10566","GO:0042981",0.000238605360167344,0.99981293665544,380,1364,"regulation of apoptotic process","BP"
"11050","GO:0044238",0.000250258867408659,0.999781706900679,2291,9175,"primary metabolic process","BP"
"11970","GO:0046635",0.000251013469479976,0.99990143311012,32,74,"positive regulation of alpha-beta T cell activation","BP"
"2694","GO:0005802",0.000251101225346763,0.999850095470689,89,262,"trans-Golgi network","CC"
"10625","GO:0043085",0.000254844440732025,0.999819224854587,189,628,"positive regulation of catalytic activity","BP"
"14240","GO:0060760",0.000262637659927449,0.999902112192978,29,66,"positive regulation of response to cytokine stimulus","BP"
"8338","GO:0032743",0.000273315757220712,0.999929577270491,18,34,"positive regulation of interleukin-2 production","BP"
"10352","GO:0042482",0.000277592973107997,0.999989554164714,7,8,"positive regulation of odontogenesis","BP"
"16592","GO:0090316",0.000281307948765093,0.99987930026543,37,90,"positive regulation of intracellular protein transport","BP"
"887","GO:0002252",0.000281423335793154,0.999801270478105,181,611,"immune effector process","BP"
"11444","GO:0045597",0.000282931021851367,0.999790671328408,241,819,"positive regulation of cell differentiation","BP"
"7202","GO:0030522",0.000301129968595768,0.99980623930042,116,358,"intracellular receptor signaling pathway","BP"
"18746","GO:1900103",0.000303442084231956,0.999972031613583,9,12,"positive regulation of endoplasmic reticulum unfolded protein response","BP"
"13411","GO:0051726",0.000312323404632713,0.999760867663124,302,1057,"regulation of cell cycle","BP"
"13167","GO:0051250",0.000319280613440566,0.999833518723227,56,156,"negative regulation of lymphocyte activation","BP"
"4481","GO:0009892",0.000328632336424734,0.99972499730875,721,2708,"negative regulation of metabolic process","BP"
"16299","GO:0080090",0.000328635324606046,0.99971540411097,1306,5061,"regulation of primary metabolic process","BP"
"13224","GO:0051345",0.000330570099721236,0.999793492814085,101,308,"positive regulation of hydrolase activity","BP"
"2394","GO:0005164",0.00033243901365732,0.999920475417753,16,30,"tumor necrosis factor receptor binding","MF"
"13940","GO:0060326",0.000342575252997309,0.999788902194546,94,294,"cell chemotaxis","BP"
"10963","GO:0043687",0.000353040717232179,0.999733641555604,266,918,"post-translational protein modification","BP"
"964","GO:0002366",0.000360650493391067,0.999777805921837,94,288,"leukocyte activation involved in immune response","BP"
"11347","GO:0045236",0.000360689069759009,0.999943479288893,11,18,"CXCR chemokine receptor binding","MF"
"11028","GO:0044089",0.000361812645843797,0.999750609549836,155,498,"positive regulation of cellular component biogenesis","BP"
"12824","GO:0050671",0.000378572800050489,0.999809679648901,50,135,"positive regulation of lymphocyte proliferation","BP"
"383","GO:0001222",0.000380236236280945,0.99987580994345,23,48,"transcription corepressor binding","MF"
"13888","GO:0060255",0.000386963699291721,0.999663322382349,1412,5504,"regulation of macromolecule metabolic process","BP"
"13077","GO:0051094",0.000388581790986365,0.999695358412843,354,1252,"positive regulation of developmental process","BP"
"7538","GO:0031323",0.000391015201334755,0.999660175020347,1367,5317,"regulation of cellular metabolic process","BP"
"56","GO:0000122",0.000394158195857382,0.999704485712477,250,861,"negative regulation of transcription by RNA polymerase II","BP"
"2364","GO:0005126",0.000403943905407377,0.999764363544319,75,230,"cytokine receptor binding","MF"
"1157","GO:0002695",0.000425839848111036,0.999765204991987,63,181,"negative regulation of leukocyte activation","BP"
"7693","GO:0031625",0.000427526104134479,0.999735142224852,94,285,"ubiquitin protein ligase binding","MF"
"11032","GO:0044093",0.000438841069642589,0.999666668860839,270,940,"positive regulation of molecular function","BP"
"3787","GO:0008152",0.000440887971569582,0.999614488045197,2540,10266,"metabolic process","BP"
"4195","GO:0009100",0.000447214751170994,0.999707973022006,116,362,"glycoprotein metabolic process","BP"
"7264","GO:0030674",0.000447714981623563,0.999653943867311,308,1075,"protein-macromolecule adaptor activity","MF"
"21425","GO:2000026",0.000460468948948603,0.999635603286119,373,1331,"regulation of multicellular organismal development","BP"
